Compliance_ID,Regulation_Type,Applicable_To,Frequency,Due_Date,Submitted_Date,Status,Penalty_Risk,Responsible_Person,Department,Priority
CMP0001,GST Return (GSTR-1),Hindustan Unilever,Monthly,12-Feb-25,12-Feb-25,Compliant,0,Finance Controller,Tax,Critical
CMP0002,PF Contribution,Nestle India,Monthly,06-Jul-25,-,Pending,0,CA Ramesh Iyer,Accounting,High
CMP0003,Income Tax Filing,Infosys Ltd,Monthly,20-Oct-25,-,Pending,0,Finance Controller,Finance,Medium
CMP0004,Advance Tax,Nestle India,Quarterly,16-Feb-25,16-Feb-25,Compliant,0,Finance Controller,Finance,Medium
CMP0005,ESI Contribution,Hindustan Unilever,Monthly,27-Oct-25,-,Pending,0,Tax Manager,Legal,Low
CMP0006,Income Tax Filing,Wipro Ltd,Monthly,24-Feb-25,24-Feb-25,Compliant,0,CFO Priya Shah,Tax,Low
CMP0007,PF Contribution,Tech Mahindra,Monthly,29-Oct-25,29-Oct-25,Compliant,0,Tax Manager,Compliance,Medium
CMP0008,Labour Law Filing,Infosys Ltd,Monthly,12-Jun-25,-,At Risk,0,Tax Manager,Accounting,High
CMP0009,ROC Annual Return,Nestle India,Annual,16-Mar-25,16-Mar-25,Compliant,0,Tax Manager,Tax,Medium
CMP0010,GST Return (GSTR-1),Maruti Suzuki,Monthly,07-Nov-25,07-Nov-25,Compliant,0,CA Ramesh Iyer,Legal,Medium
CMP0011,Audit Report Submission,HDFC Bank,Annual,08-Jun-25,-,Pending,0,Compliance Head,Finance,High
CMP0012,Advance Tax,HDFC Bank,Quarterly,05-Jan-25,05-Jan-25,Non-Compliant,464116.16,Compliance Head,Tax,Critical
CMP0013,Income Tax Filing,Tech Mahindra,Monthly,18-Apr-25,18-Apr-25,Compliant,0,Tax Manager,Tax,Low
CMP0014,GST Return (GSTR-1),Tech Mahindra,Monthly,11-Feb-25,11-Feb-25,Non-Compliant,238190.19,Tax Manager,Tax,Low
CMP0015,GST Return (GSTR-3B),Hindustan Unilever,Quarterly,24-Mar-25,-,Pending,0,Compliance Head,Compliance,Critical
CMP0016,ESI Contribution,HDFC Bank,Monthly,05-Nov-25,-,Pending,0,Finance Controller,Tax,Low
CMP0017,Labour Law Filing,Tata Consultancy,Monthly,27-Jan-25,-,Pending,0,CFO Priya Shah,Accounting,High
CMP0018,GST Return (GSTR-1),HDFC Bank,Monthly,13-Apr-25,-,Pending,0,Compliance Head,Tax,Critical
CMP0019,GST Return (GSTR-3B),Wipro Ltd,Quarterly,08-May-25,-,At Risk,0,CFO Priya Shah,Compliance,Low
CMP0020,ESI Contribution,ICICI Bank,Monthly,02-Sep-25,-,Pending,0,CFO Priya Shah,Tax,High
CMP0021,CSR Compliance,Asian Paints,Annual,17-Jun-25,17-Jun-25,Compliant,0,CFO Priya Shah,Finance,Low
CMP0022,ESI Contribution,Wipro Ltd,Monthly,21-Jul-25,21-Jul-25,Non-Compliant,472654.79,Finance Controller,Legal,Critical
CMP0023,GST Return (GSTR-1),Nestle India,Monthly,13-Oct-25,-,Pending,0,Finance Controller,Legal,Critical
CMP0024,Advance Tax,HCL Tech,Quarterly,15-May-25,-,Pending,0,CFO Priya Shah,Finance,Low
CMP0025,Transfer Pricing Report,HDFC Bank,Annual,04-Nov-25,04-Nov-25,Compliant,0,CFO Priya Shah,Finance,Medium
CMP0026,TDS Return,Asian Paints,Annual,02-Mar-25,02-Mar-25,Compliant,0,Finance Controller,Accounting,Low
CMP0027,CSR Compliance,ICICI Bank,Annual,02-Mar-25,02-Mar-25,Compliant,0,CFO Priya Shah,Legal,Medium
CMP0028,ROC Annual Return,Sun Pharma,Annual,11-Sep-25,11-Sep-25,Non-Compliant,69448.67,CFO Priya Shah,Compliance,High
CMP0029,ROC Annual Return,Sun Pharma,Annual,13-Dec-25,13-Dec-25,Compliant,0,Tax Manager,Legal,Low
CMP0030,TDS Return,Tata Consultancy,Annual,29-May-25,29-May-25,Compliant,0,CFO Priya Shah,Compliance,Low
CMP0031,Income Tax Filing,Reliance Ind,Monthly,26-Oct-25,-,Pending,0,Tax Manager,Finance,Critical
CMP0032,Advance Tax,Wipro Ltd,Quarterly,15-Jun-25,-,Pending,0,Tax Manager,Legal,Low
CMP0033,Labour Law Filing,HDFC Bank,Monthly,02-Nov-25,02-Nov-25,Compliant,0,CA Ramesh Iyer,Finance,Critical
